S1,C2,S3,S4
SLCO4C1,LMTK2,PACRG,
RCN3,PLXNA1,GABRP,
RPRML,MYOM2,HCCA2,
GATA5,C8orf76,ELF5,
SCARF2,BTBD2,PTPRN2,
SYN3,ABR,ST14,
ZNF549,SCOC,CDX1,
BMP3,LOC100130872,DLGAP2,
SNCA,OR1M1,BLCAP,
EPO,CEBPG,SRRM3,
INHBB,BAX,AGPAT4,
APC,MIR1276,ELF5,
ZSCAN18,MMP17,MUC2,
RCN3,EP400,TRIP13,
TBR1,TNS3,LRPPRC,
PRDM8,CRTC1,DSCAML1,
B4GALNT2,GNPDA1,CNNM4,
MYEF2,LOC148696,KNDC1,
CCND2,HMGCS2,NEU4,
ISM1,TNK2,CD1D,
RFTN1,MOBKL2C,HOOK2,
HOXC4,GALNT2,EML3,
MIR34B,FAM177B,STK31,
NID2,BHLHA15,PAX8,
LOC641746,ST7,C21orf56,
ZNF695,C14orf153,MYOF,
CMTM3,CLTB,NOS1,
ZNF804B,ASPSCR1,PLEC1,
TCF4,CLDN18,PTPRN2,
GFRA3,KIAA1530,ALPL,
FOXI3,TMCO3,OTUD3,
RFTN1,SMAD6,LMX1A,
FADS2,ADCY4,TRIM29,
SYNE1,GPR137B,ARRDC2,
PROX1,FAM118B,MPST,
KCNMA1,GFPT2,RAB12,
ZFP28,KLHDC7A,CHRM4,
NPR3,TRAF3,TIPIN,
CNRIP1,PCDHAC2,WISP3,
EOMES,CYP4V2,RTEL1,
CD81,GANAB,MYOM2,
ZNF677,TRAF3,VSNL1,
FOXI3,CPEB3,TBC1D16,
LHX1,C2orf69,PAX8,
TSLP,TBC1D16,CNNM4,
ZNF582,PTPRF,ARRDC2,
FADS2,HEATR2,ZFAT,
COL23A1,SCFD2,SNTG2,
MMP17,CANT1,GRB2,
CNIH3,ARHGAP10,TRIM29,
PYY,INTS1,MYADML2,
PYGO1,C7orf20,C21orf56,
GUCY1A2,CPA2,PNPLA7,
PAX6,C11orf93,PRDM16,
ZFP28,CUX2,TRIM29,
SLC5A7,CCDC155,DENND2A,
RASSF10,RIT1,PNPLA7,
BMP3,PCDH9,LMF1,
SLITRK5,GNA11,FHL2,
DLGAP3,ARHGEF16,LRRIQ4,
LYNX1,ADORA1,NIPSNAP1,
CMTM3,SIPA1L3,ZNF169,
BMP3,PM20D1,ATP4B,
HLA-L,DQX1,TRAPPC9,
HS3ST4,LMTK2,LCN10,
KCNQ3,ADAP1,PROM2,
DDIT4L,JRK,NANOS3,
TTBK1,LGR4,BRSK2,
DNM3,AP2A2,IRS1,
NKX3-2,LRP5,DBH,
CRAMP1L,MEF2C,ELOVL5,
RPS15,C7orf20,PNPLA7,
SYNGAP1,TBC1D16,KIAA1984,
SLC22A23,FOS,SHB,
RPL22L1,CANT1,KIF24,
DIP2C,TTC38,MORF4L1,
PRDM16,UNC84A,TRIP13,
OR8D1,SLC25A22,GPR39,
A2LD1,CLU,DUSP14,
CCND1,ZMIZ1,ANGEL2,
MIR23B,FIS1,MYBPC3,
CLDN18,NEU1,SEC23B,
GATA4,DGKQ,ZC3H3,
ZHX2,UBE2L6,UQCC,
MAPK8IP3,RPTOR,CACNA1G,
LRP5,PER3,C21orf56,
ASRGL1,ADCY4,VPS26A,
MRPS5,ZFYVE21,MAEA,
TSC2,GLT25D2,ZNF239,
ADAP1,STK31,NFIX,
TMEM175,SIPA1L3,AGAP1,
IGFALS,CTBP1,DIP2C,
CLIC1,KDM6B,TCERG1L,
ABCB6,MRI1,SLC16A5,
ITGB7,FASTK,BRUNOL6,
C14orf153,SH3BP4,GRM3,
KCTD1,YTHDC2,C1orf198,
CANT1,SLC25A22,SETDB1,
SLC7A1,KIF26B,C13orf16,
KIAA1199,HSPA1L,CCDC40,
ADAP1,KIAA0317,SKIL,
RERE,CDH23,LCLAT1,
TBC1D16,CKB,LRP5,
INPP5A,PM20D1,MIIP,
MAPK8IP3,NPC1L1,RYR1,
TLN2,IGSF9B,PLCH2,
TNK2,ZIC5,SORCS2,
KCNJ6,KIAA0430,IGF2R,
BCAR1,VARS,ST14,
PLCG2,CNPY4,VGLL4,
LRP5,AQP8,SAE1,
DQX1,TCF25,ACY1,
TST,TTYH3,SYT8,
BIN1,UNC84A,KIDINS220,
LEFTY1,MTA1,FOXK2,
C14orf28,ZBTB7A,MARS,
RNGTT,ZBTB7A,POU6F2,
RAB40C,ZFPM1,CACNA1H,
CDH17,BANF2,NID1,
SLC6A9,EFCAB2,SEMA6B,
PLCB3,ARHGEF10,CACNA1H,
TPCN1,MYO1C,OBSCN,
ACSF3,C19orf26,DUSP15,
PRDM16,CMIP,ITPRIPL2,
SDK1,LLGL2,PCGF3,
ZBTB38,PIK3R2,BAHCC1,
CYP4V2,PROM2,FUCA1,
ARL6IP1,C15orf41,C3orf39,
DQX1,PNLIPRP2,CADM1,
MYLK4,PTPN14,DIP2C,
ZFPM1,TRIP13,C20orf108,
MAEA,ZNF423,TUG1,
PDGFA,FSD1,JAKMIP3,
FAM3D,APBA2,DNAH10,
LHPP,CCDC154,SLC29A4,
NTSR1,ARRDC2,EEPD1,
TBC1D16,OBSCN,RADIL,
MIR24-1,PTPRN2,CHRNA2,
NEIL1,MYOM2,SYT8,
LOC723809,PTDSS2,EEF1A2,
GNA12,ST3GAL1,NMUR2,
WNK2,WDR36,RASA3,
C1orf127,PARP9,KCNQ1,
CPN1,BTBD7,TTBK1,
DYNC2H1,IRS1,NOTCH3,
PFKP,ST3GAL1,CDH4,
IFT140,SCNN1A,TRIO,
FBXL8,JAKMIP3,CTTN,
LRP5,PRKAG2,MYOM2,
CASZ1,PRKCZ,WISP1,
CCND1,CAPS,ZNF532,
GYG1,MYCBPAP,EBF3,
PLEKHM3,IRS1,MIR100,
RPS15AP10,MYOM2,SLC43A2,
GFPT2,GORASP2,STK40,
PROZ,ABTB1,CCDC40,
ZCCHC24,CACNA1H,TRIM29,
MAEA,BRSK2,ELFN1,
ZNF148,SIK1,GPR39,
LRP2BP,MFHAS1,FAM46B,
LMTK2,MYO18B,CLSTN2,
DCAF4,SEPHS2,SMOC2,
C17orf73,KCNQ2,CDX1,
GRK5,LIPH,AMIGO2,
IFT140,SHANK2,OXR1,
FAM135A,VPS28,DENND2A,
ZCCHC14,ELF5,MGMT,
SLC3A1,TSPYL5,SDK1,
RPH3AL,TRIP13,MCF2L,
STK24,BANP,TNRC6C,
TMEM11,CHST10,RAB12,
UNC93B1,APBA2,PRKAR1B,
C19orf26,TBC1D5,ZNHIT6,
C11orf54,B4GALT7,LOC100190939,
MYH15,VASH1,GAA,
PALM,DSCAML1,TRAPPC9,
WWP2,DPPA2,ACOX3,
TCF7L2,SIK1,C19orf26,
SSU72,STAU2,SNED1,
PARD3,C1QTNF8,PAX8,
SLC9A4,SLC22A18AS,ARPC2,
IGSF11,PLEC1,STOX2,
FHL2,CCDC40,WDR35,
DAK,RBCK1,SLC35A3,
ANKS3,PTPRN2,ATP2A2,
GATA4,KIF6,ASAP2,
TBC1D14,ITGAX,ARID3A,
PPP4R2,PTPRN2,DTX1,
LOC285768,TBC1D16,ANGEL2,
UNKL,PTPRN2,CNNM4,
C1orf21,INO80E,ABHD11,
RAB40C,B4GALT7,SDK1,
IPP,CMIP,MCM5,
GFPT2,LOC440356,SHANK2,
GAK,SBF1,MYOM2,
MYADML,GPC1,SDK1,
RAB40C,HGFAC,ZBTB46,
TUFT1,PYGB,FAM83C,
SGTA,PTPRN2,C17orf55,
KIF16B,SLC6A18,CUX2,
RPS6KA2,TBC1D15,MGMT,
WDR8,GAMT,COL4A2,
PYGB,GNAO1,MUC6,
CA5A,ARRDC2,TRIM29,
NOSIP,ST14,SLMO2,
MAGI1,DOC2A,SMAD7,
CSNK1G2,FHL2,ELF5,
RBM25,SIK1,LMLN,
FAM53B,ARHGEF18,EPS15L1,
SEPX1,RPS6KA2,CAMK2B,
ERI3,BTBD7,IMMP2L,
BSN,PON3,FAT1,
MUC6,TSSC1,PAX8,
ZDHHC7,FAM92B,PAX8,
MOSC1,MYT1L,THAP4,
ATP6V1B1,C11orf63,GABRP,
44166,CCDC102A,KLHL21,
MAT2A,SOX5,FOXK2,
ABCC1,PMEPA1,AGAP1,
GAS2L1,MFHAS1,SYT8,
ZFYVE21,PLEC1,PTPRO,
KIAA1211,IRS1,POU6F2,
BAHCC1,GIPC3,WSCD2,
FLOT1,AGAP1,BRSK1,
AQP8,LOC440839,SYNGR1,
CCDC88B,WISP1,MYOM2,
ABR,C14orf180,SDK1,
IRF7,MSI2,MYBPC3,
CLMN,RADIL,GPR162,
PIGQ,PDLIM4,STAU2,
REM2,PIK3CD,ABCA13,
PRSS3,CAMK2B,INPP5A,
MUC4,HOOK2,RYR1,
CLDN18,MCF2L,SBF1,
LEPREL1,BMPER,ELF5,
TPO,TRIM29,WBP2NL,
LMF1,LRRIQ4,LRRIQ4,
LOC723809,POLE4,WSCD1,
SPIRE2,C13orf16,PKLR,
GNPDA1,PEX7,CCDC40,
TPPP,KALRN,KIDINS220,
RAB40B,ST14,SLC22A5,
LEPREL1,C1orf110,C14orf70,
MAPK8IP3,PON1,PDE9A,
SFMBT2,TMEM168,AMIGO2,
ITIH4,CMIP,CNTD2,
ANKRD11,PLCD3,FAM20B,
ZDHHC7,STK31,CHST15,
SMAD6,DNAJC15,HOOK2,
C11orf9,TPSG1,METTL5,
EHD1,MAPK8IP3,ARRDC2,
FERMT3,TRIO,ZNF572,
PC,FUCA1,TAP1,
C10orf41,CYTH4,KCNAB2,
PSMD6,CPZ,BRD9,
CTNND1,PHF20L1,MMP17,
HN1,C16orf62,CARD11,
P2RX1,ARC,ANGEL2,
PLCG2,OBSCN,ARC,
BAIAP2,ADARB2,RADIL,
IRF2BP1,BRSK2,RASA3,
KLHDC7A,BFAR,B4GALNT4,
C3orf21,KIAA1908,SORCS2,
INPP5A,WDR1,ABTB1,
TRAPPC9,MFI2,FANCA,
AFAP1,PYCR2,STOX2,
ACSF3,NANOS3,HCCA2,
CUX1,PTPRN2,TERT,
ABR,IL20RB,RIMBP2,
KIAA1614,PTP4A3,NOTUM,
FOXK1,DOCK1,GABRD,
TBCD,HOOK2,SHISA6,
PM20D1,WSCD1,ERICH1,
BAMBI,SIK1,C4orf44,
SDK1,ZNF251,BRCA1,
CLTCL1,TTC15,IRS2,
SORBS2,SLC4A10,COL4A2,
HAVCR1,MYADM,PRKAR1B,
IQCE,TIAM2,PTPRN2,
EPB41L3,PTPRN2,ZNF71,
C11orf9,GALNT9,CCDC40,
FOXK1,ANKRD11,CPLX1,
BANP,EPHA2,SEMA6B,
DNAJB6,ELAVL3,PCGF3,
TCF7L2,SEMA6B,PCGF3,
TBC1D16,KCTD5,SNORD115-9,
HCG9,LRTM2,BRSK2,
EDEM3,BRCA1,PARP9,
GPR123,METRNL,AZI1,
TBC1D17,BAIAP2L1,JARID2,
KIAA0802,EPHX4,OBSCN,
ADAMTS17,PRSS21,ADARB2,
TRIM26,ZFAT,PEG3,
DOT1L,OR10G2,EEPD1,
TNK2,PDLIM7,ERGIC1,
MIR211,LDHD,HDAC4,
RAB40C,BTBD12,SDK1,
NADK,CCDC90B,STK32C,
DDX43,KIAA0182,ZNF787,
C7orf50,MPST,DIP2C,
MTA1,CAPZB,ACAN,
RNF144A,LMF1,PTDSS2,
ZDHHC7,CCDC154,KCNQ1,
MAEA,PTDSS2,TIAM2,
KLF16,MYEOV2,FBRSL1,
RGMB,SIGLEC10,NRXN1,
GOLGA3,DOC2A,FGFRL1,
SLC23A2,RAB11FIP3,GAMT,
S100A14,PLEC1,C19orf35,
ZFPM1,GNMT,LRP1,
UNC93B1,FANCA,HN1L,
ZFPM1,GRIN3B,RPP25,
MYC,MUC6,SFMBT1,
SLC22A11,KIAA0556,SYT8,
AACS,EGFL8,MYADML2,
HYDIN,ELAVL3,,
TMEM129,ASPHD1,,
C3orf21,GNG7,,
TBCD,LRRN2,,
CSNK1G2,PRKCZ,,
KIF26B,OBSCN,,
HYLS1,FUCA1,,
ITCH,GRM6,,
SSU72,SYT7,,
CES2,CBFA2T3,,
TOLLIP,B4GALT7,,
BAZ1A,SUGT1L1,,
DCPS,MIB2,,
CES3,PDCD1,,
ABAT,ASPHD1,,
ACOT7,MUC4,,
GPT,MYADM,,
MACROD1,FAM20B,,
INPP5A,HCCA2,,
ZFPM1,CHID1,,
ADAMTS2,SMOC2,,
SCG5,UNC5A,,
MAEA,NIPA2,,
INPP5A,AGPAT4,,
HYDIN,CPNE7,,
C9orf3,FAM38A,,
KLF12,KNDC1,,
ZFPM1,MGMT,,
LNX2,EEPD1,,
GAK,TAS1R3,,
VPS4A,TYRO3,,
PKD1,MYT1L,,
C21orf56,CPNE7,,
CDC42BPA,INPP5A,,
CLDN18,SMG5,,
USP36,PTPRN2,,
MYBPC3,RADIL,,
CYTSA,FLNC,,
ACSF3,PLEC1,,
CLDN18,PREX1,,
SLC12A7,SPG7,,
JRK,LOC650623,,
CLDN18,AGAP1,,
LRP5,HN1L,,
MTA1,PDCD1,,
TBC1D17,PACRG,,
CD9,GABRP,,
IL1RN,HCCA2,,
C11orf9,ELF5,,
LOC148696,PTPRN2,,
ODZ4,ST14,,
HAVCR1,CDX1,,
C21orf70,DLGAP2,,
CLDN18,BLCAP,,
C3orf26,SRRM3,,
RTN4RL1,AGPAT4,,
NEU1,ELF5,,
ABR,MUC2,,
C21orf58,TRIP13,,
ERI3,LRPPRC,,
MIR1276,DSCAML1,,
GPT,CNNM4,,
FOXK1,KNDC1,,
DAZAP1,NEU4,,
BAHCC1,CD1D,,
UGGT1,HOOK2,,
MAST4,EML3,,
TSNARE1,STK31,,
KIF26B,PAX8,,
FOXK1,C21orf56,,
PM20D1,MYOF,,
P4HB,NOS1,,
CDH17,PLEC1,,
PTPRN2,PTPRN2,,
TCP11,ALPL,,
NOSIP,OTUD3,,
CSNK1G2,LMX1A,,
BTBD2,TRIM29,,
SYT11,ARRDC2,,
GSDMB,MPST,,
OPA3,RAB12,,
OLFM4,CHRM4,,
HLA-DPA1,TIPIN,,
CLDN18,WISP3,,
CLDN18,RTEL1,,
CABC1,MYOM2,,
SPATS2L,VSNL1,,
SOX15,TBC1D16,,
HEXDC,PAX8,,
C6orf222,CNNM4,,
NXN,ARRDC2,,
LDLRAD2,ZFAT,,
NUAK2,SNTG2,,
FBXO44,GRB2,,
COL17A1,TRIM29,,
PCSK9,MYADML2,,
FRMD4A,C21orf56,,
ARHGEF10,PNPLA7,,
FBP1,PRDM16,,
LLGL2,TRIM29,,
EHMT2,DENND2A,,
LHPP,PNPLA7,,
HLA-DPA1,LMF1,,
NELF,FHL2,,
LRP5,LRRIQ4,,
SLC6A6,NIPSNAP1,,
FREQ,ZNF169,,
SPTBN2,ATP4B,,
LTBP3,TRAPPC9,,
VAV2,LCN10,,
GFPT2,PROM2,,
HS3ST1,NANOS3,,
SLC12A7,BRSK2,,
PFKP,IRS1,,
CEL,DBH,,
SET,ELOVL5,,
ABR,PNPLA7,,
PM20D1,KIAA1984,,
TBC1D16,SHB,,
ST6GALNAC6,KIF24,,
ERI3,MORF4L1,,
RGPD8,TRIP13,,
GTF3C5,GPR39,,
LDHC,DUSP14,,
SNX30,ANGEL2,,
BRMS1,MYBPC3,,
INPP5A,SEC23B,,
FBP1,ZC3H3,,
TMCO3,UQCC,,
PARD3,CACNA1G,,
TPPP,C21orf56,,
C9orf3,VPS26A,,
PC,MAEA,,
ACADS,ZNF239,,
RASA3,NFIX,,
SIRT7,AGAP1,,
UBAP2L,DIP2C,,
PM20D1,TCERG1L,,
PWWP2B,SLC16A5,,
ZBTB7A,BRUNOL6,,
IGSF9B,GRM3,,
LPIN2,C1orf198,,
CACNA1C,SETDB1,,
PFKP,C13orf16,,
LOC148696,CCDC40,,
DST,SKIL,,
ANO7,LCLAT1,,
NEU1,LRP5,,
KIAA1530,MIIP,,
HLA-DRB1,RYR1,,
PROZ,PLCH2,,
NOSIP,SORCS2,,
SLC12A7,IGF2R,,
NFATC1,ST14,,
TPM4,VGLL4,,
PIWIL1,SAE1,,
SLC45A3,ACY1,,
PALLD,SYT8,,
PCDHA7,KIDINS220,,
SSBP3,FOXK2,,
GNB3,MARS,,
ZFPM1,POU6F2,,
DENND3,CACNA1H,,
MMP1,NID1,,
AKR7A2,SEMA6B,,
ERI3,CACNA1H,,
TPD52,OBSCN,,
ITPK1,DUSP15,,
POLR1D,ITPRIPL2,,
UBD,PCGF3,,
PRDM16,BAHCC1,,
ANPEP,FUCA1,,
CCDC57,C3orf39,,
SEC31A,CADM1,,
VPS37B,DIP2C,,
CDH23,C20orf108,,
CACNA1C,TUG1,,
SLC2A2,JAKMIP3,,
SKI,DNAH10,,
PKP3,SLC29A4,,
PM20D1,EEPD1,,
FAM46C,RADIL,,
CUBN,CHRNA2,,
TNFSF12,SYT8,,
9-Sep,EEF1A2,,
TBC1D16,NMUR2,,
DUSP27,RASA3,,
WDR8,KCNQ1,,
AP2A2,TTBK1,,
PRKAG2,NOTCH3,,
SCOC,CDH4,,
ADAP1,TRIO,,
NFKBIZ,CTTN,,
CYTH3,MYOM2,,
CANT1,WISP1,,
INPP5A,ZNF532,,
TSPAN4,EBF3,,
INPP5A,MIR100,,
TNFRSF21,SLC43A2,,
LRRC56,STK40,,
SORBS2,CCDC40,,
MASP1,TRIM29,,
BDH1,ELFN1,,
DENND3,GPR39,,
FBLN2,FAM46B,,
C10orf81,CLSTN2,,
CCDC57,SMOC2,,
CTNND1,CDX1,,
FAT1,AMIGO2,,
WDR27,OXR1,,
RER1,DENND2A,,
TCIRG1,MGMT,,
MIR1276,SDK1,,
OPA3,MCF2L,,
PFKP,TNRC6C,,
TBC1D16,RAB12,,
CUX1,PRKAR1B,,
SYNPO,ZNHIT6,,
ARHGEF10,LOC100190939,,
ZCCHC24,GAA,,
WDR8,TRAPPC9,,
MAP3K13,ACOX3,,
ZNF702P,C19orf26,,
CLDN23,SNED1,,
AIRE,PAX8,,
ZFP41,ARPC2,,
TIAM1,STOX2,,
KIAA0802,WDR35,,
HEG1,SLC35A3,,
PMS2,ATP2A2,,
MMEL1,ASAP2,,
PUS1,ARID3A,,
TBC1D16,DTX1,,
LRP5L,ANGEL2,,
HCN2,CNNM4,,
CCDC42B,ABHD11,,
ADAM8,SDK1,,
ITPK1,MCM5,,
SH3BP4,SHANK2,,
ANO8,MYOM2,,
PROZ,SDK1,,
TNK2,ZBTB46,,
CCDC88B,FAM83C,,
SERPINF2,C17orf55,,
CCDC42B,CUX2,,
AP2A2,MGMT,,
ZFP41,COL4A2,,
PRDM16,MUC6,,
LLGL2,TRIM29,,
MUC5B,SLMO2,,
SCOC,SMAD7,,
CAMTA1,ELF5,,
UNC93B1,LMLN,,
BDH1,EPS15L1,,
WDR69,CAMK2B,,
TM4SF20,IMMP2L,,
SLC6A6,FAT1,,
C7orf50,PAX8,,
KSR1,PAX8,,
RNF144A,THAP4,,
NLRP2,GABRP,,
DDC,KLHL21,,
EHMT1,FOXK2,,
SSU72,AGAP1,,
C9orf86,SYT8,,
PBX1,PTPRO,,
ANP32E,POU6F2,,
NOSIP,WSCD2,,
TRAPPC9,BRSK1,,
LOC100130872,SYNGR1,,
CEACAM5,MYOM2,,
SDCCAG8,SDK1,,
AP2A2,MYBPC3,,
TNFRSF21,GPR162,,
TNK2,STAU2,,
DNAJC17,ABCA13,,
NEDD4L,INPP5A,,
PSMD5,RYR1,,
LMTK2,SBF1,,
PLXNA1,ELF5,,
MYOM2,WBP2NL,,
C8orf76,LRRIQ4,,
BTBD2,WSCD1,,
ABR,PKLR,,
SCOC,CCDC40,,
LOC100130872,KIDINS220,,
OR1M1,SLC22A5,,
CEBPG,C14orf70,,
BAX,PDE9A,,
MIR1276,AMIGO2,,
MMP17,CNTD2,,
EP400,FAM20B,,
TNS3,CHST15,,
CRTC1,HOOK2,,
GNPDA1,METTL5,,
LOC148696,ARRDC2,,
HMGCS2,ZNF572,,
TNK2,TAP1,,
MOBKL2C,KCNAB2,,
GALNT2,BRD9,,
FAM177B,MMP17,,
BHLHA15,CARD11,,
ST7,ANGEL2,,
C14orf153,ARC,,
CLTB,RADIL,,
ASPSCR1,RASA3,,
CLDN18,B4GALNT4,,
KIAA1530,SORCS2,,
TMCO3,ABTB1,,
SMAD6,FANCA,,
ADCY4,STOX2,,
GPR137B,HCCA2,,
FAM118B,TERT,,
GFPT2,RIMBP2,,
KLHDC7A,NOTUM,,
TRAF3,GABRD,,
PCDHAC2,SHISA6,,
CYP4V2,ERICH1,,
GANAB,C4orf44,,
TRAF3,BRCA1,,
CPEB3,IRS2,,
C2orf69,COL4A2,,
TBC1D16,PRKAR1B,,
PTPRF,PTPRN2,,
HEATR2,ZNF71,,
SCFD2,CCDC40,,
CANT1,CPLX1,,
ARHGAP10,SEMA6B,,
INTS1,PCGF3,,
C7orf20,PCGF3,,
CPA2,SNORD115-9,,
C11orf93,BRSK2,,
CUX2,PARP9,,
CCDC155,AZI1,,
RIT1,JARID2,,
PCDH9,OBSCN,,
GNA11,ADARB2,,
ARHGEF16,PEG3,,
ADORA1,EEPD1,,
SIPA1L3,ERGIC1,,
PM20D1,HDAC4,,
DQX1,SDK1,,
LMTK2,STK32C,,
ADAP1,ZNF787,,
JRK,DIP2C,,
LGR4,ACAN,,
AP2A2,PTDSS2,,
LRP5,KCNQ1,,
MEF2C,TIAM2,,
C7orf20,FBRSL1,,
TBC1D16,NRXN1,,
FOS,FGFRL1,,
CANT1,GAMT,,
TTC38,C19orf35,,
UNC84A,LRP1,,
SLC25A22,HN1L,,
CLU,RPP25,,
ZMIZ1,SFMBT1,,
FIS1,SYT8,,
NEU1,MYADML2,,
DGKQ,,,
UBE2L6,,,
RPTOR,,,
PER3,,,
ADCY4,,,
ZFYVE21,,,
GLT25D2,,,
STK31,,,
SIPA1L3,,,
CTBP1,,,
KDM6B,,,
MRI1,,,
FASTK,,,
SH3BP4,,,
YTHDC2,,,
SLC25A22,,,
KIF26B,,,
HSPA1L,,,
KIAA0317,,,
CDH23,,,
CKB,,,
PM20D1,,,
NPC1L1,,,
IGSF9B,,,
ZIC5,,,
KIAA0430,,,
VARS,,,
CNPY4,,,
AQP8,,,
TCF25,,,
TTYH3,,,
UNC84A,,,
MTA1,,,
ZBTB7A,,,
ZBTB7A,,,
ZFPM1,,,
BANF2,,,
EFCAB2,,,
ARHGEF10,,,
MYO1C,,,
C19orf26,,,
CMIP,,,
LLGL2,,,
PIK3R2,,,
